SIRUTA,F1,F2,F3
52650,-0.020,-0.111,-0.187
52696,-0.067,-0.238,0.078
52721,-0.061,-0.196,-0.001
52758,-0.063,-0.238,-0.037
52785,-0.050,-0.131,-0.063
52856,-0.059,-0.189,-0.026
52909,-0.061,-0.203,0.011
52936,-0.069,-0.203,0.092
52954,-0.040,-0.108,-0.179
52990,-0.056,-0.139,-0.112
53023,-0.060,-0.174,-0.016
53069,-0.067,-0.215,0.046
53103,-0.063,-0.201,-0.037
53130,-0.059,-0.197,0.015
53167,-0.047,-0.164,-0.077
53210,-0.058,-0.416,-0.116
53247,-0.067,-0.192,-0.020
53274,-0.050,-0.141,-0.352
53327,-0.060,-0.190,0.002
53345,-0.061,-0.196,0.003
53372,-0.076,-0.380,0.325
53425,-0.024,-0.002,0.008
53489,-0.063,-0.224,-0.012
53513,-0.051,-0.122,0.045
53577,0.012,-0.025,-0.228
53639,-0.060,-0.181,-0.032
53675,-0.070,-0.173,0.025
53700,-0.061,-0.191,0.001
53728,-0.071,-0.119,0.076
53755,-0.061,-0.189,-0.007
53791,-0.031,-0.002,-0.109
53853,-0.055,-0.170,0.027
54056,-0.072,-0.233,0.079
54109,-0.061,-0.189,0.002
54163,-0.056,-0.150,0.014
54270,-0.014,0.057,-0.307
54305,-0.062,-0.193,0.006
54350,-0.062,-0.188,-0.006
54387,-0.061,-0.210,-0.057
54412,-0.045,-0.090,-0.032
54485,-0.062,-0.233,0.059
54500,-0.066,-0.212,-0.024
54537,-0.057,-0.177,0.006
54573,-0.061,-0.194,0.003
54617,0.034,0.558,-0.716
54699,-0.060,-0.181,-0.029
54975,6.542,14.671,-7.804
55008,0.540,2.450,-0.526
55062,0.021,0.226,0.072
55106,-0.054,-0.147,0.032
55160,-0.081,-0.254,-0.026
55259,0.422,0.989,-2.195
55277,-0.083,-0.223,-0.396
55311,-0.066,-0.088,-0.024
55357,-0.046,-0.771,0.202
55384,0.180,0.088,-0.100
55446,0.049,0.537,-0.395
55473,-0.040,0.044,0.116
55598,-0.065,-0.194,0.030
55623,-0.063,-0.197,-0.006
55687,0.197,0.702,2.086
55776,-0.054,-0.135,0.024
55838,0.155,0.126,-1.132
55918,-0.055,-0.153,-0.272
56014,-0.058,-0.158,-0.039
56096,-0.055,-0.165,-0.015
56210,-0.043,0.077,0.596
56265,-0.060,-0.201,0.008
56327,-0.052,-0.174,-0.072
56354,-0.024,-0.089,-0.307
56425,-0.046,-0.160,-0.402
56461,-0.032,-0.126,-0.309
56522,-0.052,-0.148,0.023
56568,-0.261,-0.627,0.446
56666,0.013,0.374,-0.137
56773,-0.039,-0.082,-0.042
56844,-0.065,-0.174,-0.025
56988,0.086,0.413,0.206
57083,-0.050,-0.056,-0.013
57163,-0.087,-0.291,0.234
57225,-0.201,-0.572,-0.082
57314,-0.053,0.026,0.627
57350,-0.017,0.054,0.283
57449,-0.104,-0.430,0.173
57546,-0.059,-0.173,-0.054
57582,0.226,0.544,-0.136
57644,-0.021,-0.071,0.026
57706,-0.929,-9.411,4.817
57742,-0.072,-0.215,0.121
57831,-0.052,-0.164,-0.030
57902,-0.094,0.008,0.529
57948,-0.061,-0.183,0.097
58008,-0.047,-0.054,0.001
58142,0.069,0.484,0.382
58204,-0.048,-0.145,0.086
58259,0.052,0.585,-0.029
58311,-0.092,-0.593,0.174
58357,-0.036,-0.036,-0.024
58393,-0.063,-0.174,0.014
58464,-0.041,-0.035,-0.110
58534,-0.052,-0.150,0.021
58552,-0.028,-0.072,0.210
58623,-0.055,-0.141,-0.174
58721,-0.057,0.178,0.493
58794,-0.059,-0.178,-0.025
58856,-0.032,-0.160,-0.023
58918,-0.059,-0.247,0.013
58990,-0.060,-0.186,0.001
59041,-0.029,-0.030,-0.194
59130,-0.060,-0.179,0.016
59238,0.030,0.016,-0.339
59283,-0.063,-0.228,0.045
59327,0.154,0.714,0.234
59416,0.003,0.322,-0.244
59434,-0.054,0.014,0.035
59498,-0.048,-0.113,0.042
59586,-0.019,0.015,-0.033
59657,-0.061,-0.202,0.017
59693,-0.056,-0.055,0.172
59764,-0.050,0.074,-0.046
59826,-0.067,-0.119,-0.009
59880,-0.057,-0.171,-0.012
59942,-0.052,-0.170,-0.020
60026,-0.046,-0.095,-0.002
60062,-0.006,0.398,0.214
60099,-0.072,-0.216,-0.008
60169,-0.045,-0.215,-0.070
60419,5.024,16.532,34.451
60455,-0.072,-0.187,-0.279
60482,0.088,0.910,3.147
60507,0.382,0.341,0.638
60534,-0.048,-0.269,0.576
60570,-0.620,-2.201,4.278
60598,-0.276,0.033,1.132
60632,0.167,0.966,0.326
60687,0.291,1.426,0.653
60721,-0.092,-1.542,-0.368
60776,0.120,0.462,2.350
60801,0.012,-0.040,-0.338
60847,0.108,0.945,1.500
60883,-0.062,-0.153,0.041
60945,-0.044,-0.143,0.015
61005,-0.058,-0.221,-0.035
61069,0.002,0.261,-0.182
61121,-0.065,-0.207,-0.009
61167,-0.064,-0.192,-0.004
61210,-0.074,-0.182,0.066
61256,-0.058,-0.132,-0.010
61283,-0.086,-0.179,0.179
61318,-0.060,0.204,-0.240
61372,-0.031,0.091,0.023
61452,-0.062,-0.195,0.005
61513,-0.017,0.030,0.175
61559,0.027,0.055,-0.384
61620,-0.022,-0.012,-0.178
61675,-0.065,-0.172,0.027
61737,-0.062,-0.181,-0.002
61808,-0.042,-0.142,-0.053
61826,-0.079,-0.278,0.193
61871,-0.060,-0.154,-0.062
61951,-0.064,-0.204,-0.001
62020,-0.062,-0.132,0.002
62057,-0.052,-0.140,0.034
62137,-0.082,-0.102,0.829
62191,0.094,0.906,1.672
62253,-0.053,-0.080,-0.124
62280,-0.067,-0.073,0.143
62360,-0.048,-0.135,0.019
62397,-0.061,-0.185,-0.200
62440,-0.091,-0.274,0.257
62486,-0.066,-0.195,0.001
62538,-0.071,-0.177,-0.011
62609,-0.068,-0.231,-0.026
62672,-0.052,-0.127,-0.060
62707,-0.094,-0.101,0.221
62761,-0.112,-0.454,-0.066
62798,-0.065,-0.173,-0.101
62823,-0.072,-0.201,0.050
62878,-0.058,-0.154,0.045
62903,-0.064,-0.258,-0.142
62949,-0.062,-0.171,-0.023
62985,-0.057,-0.173,0.008
63045,-0.054,-0.162,0.014
63072,-0.055,-0.116,0.060
63125,-0.028,0.171,0.473
63152,-0.229,-1.573,-0.545
63161,-0.061,-0.197,-0.001
63170,-0.066,-0.197,0.015
63189,-0.048,-0.096,0.034
63198,-0.062,-0.128,0.077
63278,-0.067,-0.214,0.011
63286,0.128,-1.178,-1.382
63294,-0.062,-0.138,-0.016
63300,-0.059,-0.218,-0.177
63318,-0.051,-0.162,-0.212
63326,-0.058,-0.188,-0.023
63334,-0.089,-0.333,0.271
63394,0.470,2.786,-1.809
63447,-0.072,-0.310,0.355
63526,-0.001,0.064,0.285
63553,-0.031,-0.008,-0.130
63580,0.034,0.573,-1.131
63633,-0.042,-0.026,-0.195
63688,0.035,0.541,-0.291
63740,-0.217,0.182,-2.636
63777,-0.018,0.073,-0.337
63802,-0.070,-0.170,-0.033
63866,-0.048,-0.118,0.109
63893,-0.084,-0.604,0.026
63937,-0.052,-0.182,-0.084
64005,-0.064,-0.227,-0.009
64041,-0.019,0.089,-0.200
64096,-0.078,-0.129,0.086
64130,-0.048,-0.098,0.010
64194,-0.060,-0.115,0.047
64238,-0.138,-0.307,0.630
64265,-0.057,-0.143,-0.012
64318,0.017,0.367,-0.444
64345,-0.079,-0.199,0.047
64390,-0.048,-0.044,0.244
64425,-0.026,-0.155,0.037
64461,-0.058,-0.184,0.061
64504,-0.080,-0.499,0.339
64568,0.034,-0.089,-0.283
64602,-0.045,-0.082,-0.171
64639,-0.085,-0.111,-0.166
64719,-0.054,-0.118,-0.074
64773,-0.065,-0.106,-0.035
64826,-0.072,-0.198,0.004
64871,-0.009,0.102,-0.074
64906,-0.044,0.000,-0.047
64942,-0.096,-0.437,0.137
64997,-0.044,-0.069,0.127
65011,-0.007,0.121,-0.302
65048,-0.047,-0.104,0.006
65099,-0.061,-0.193,-0.009
65105,-0.054,-0.173,-0.036
65113,-0.009,0.127,-0.082
65121,-0.053,-0.169,-0.094
65139,-0.053,-0.166,0.001
65147,-0.065,-0.204,0.015
65154,-0.062,-0.211,0.006
65342,1.913,8.405,1.837
65379,0.036,0.381,-0.919
65413,-0.020,-0.230,-0.170
65431,0.176,0.649,0.420
65477,-0.047,-0.218,-0.101
65501,0.122,1.748,0.973
65609,-0.359,-5.607,-12.015
65645,-0.045,-0.115,0.020
65681,-0.009,1.839,0.083
65707,-0.064,-0.181,-0.014
65752,-0.114,-0.194,0.001
65841,0.643,3.304,-2.613
65869,-0.052,-0.071,-0.036
65921,0.001,0.242,-0.528
66009,0.053,0.110,-0.216
66081,-0.092,0.941,1.842
66152,-0.050,-0.143,0.138
66198,-0.062,-0.135,0.128
66223,-0.070,-0.145,0.291
66330,-0.082,-0.167,0.123
66401,-0.063,-0.188,-0.067
66438,-0.061,-0.138,-0.042
66474,-0.060,-0.201,-0.119
66526,-0.054,-0.185,0.007
66580,-0.043,-0.083,-0.063
66697,-0.132,-0.041,0.237
66731,-0.111,-1.077,-2.127
66768,-0.066,-0.160,0.054
66857,-0.073,-0.158,-0.069
66955,-0.126,-0.653,0.087
67014,-0.072,-0.273,0.035
67121,-0.047,-0.129,0.031
67167,-0.060,-0.100,0.039
67256,-0.044,-0.065,-0.144
67292,-0.051,-0.114,-0.003
67327,-0.016,0.124,-0.218
67407,-0.152,-0.544,0.589
67470,-0.043,-0.083,-0.023
67522,-0.064,-0.189,0.088
67595,-0.035,0.004,0.330
67648,-0.067,-0.068,0.080
67675,-0.061,-0.203,0.001
67737,-0.002,0.253,-0.194
67773,-0.054,-0.232,-0.457
67835,-0.059,-0.148,-0.033
67906,-0.055,-0.217,-0.241
67942,-0.057,-0.170,0.073
68002,-0.067,-0.139,-0.124
68048,-0.058,-0.151,0.035
68128,-0.059,-0.156,0.002
68182,0.001,0.161,0.017
68253,-0.063,-0.191,-0.044
68280,-0.073,-0.210,0.107
68324,0.026,0.147,0.255
68342,-0.225,-0.854,-0.459
68404,-0.049,-0.088,0.013
68431,-0.060,-0.165,0.029
68468,-0.063,-0.259,0.007
68529,-0.067,-0.196,-0.047
68565,-0.012,0.089,-0.224
68627,-0.029,0.171,0.166
68716,-0.043,-0.077,0.304
68789,-0.035,-0.091,-0.396
68887,-0.062,-0.201,-0.028
68921,-0.044,-0.148,-0.074
68976,-0.049,-0.216,-0.446
69063,-0.058,-0.160,-0.054
69170,-0.092,-0.345,0.091
69250,0.019,0.052,-1.167
69303,-0.060,-0.182,-0.021
69330,-0.068,-0.161,0.056
69394,-0.049,-0.079,-0.020
69447,-0.021,0.052,-0.227
69526,-0.021,0.024,0.238
69615,-0.032,-0.155,0.071
69900,3.581,10.535,-2.015
69964,0.048,0.309,-0.932
70094,0.051,0.415,-0.069
70110,0.000,0.228,-0.397
70174,-0.223,-0.911,0.058
70316,0.096,0.705,-0.495
70352,0.105,0.072,-0.628
70414,0.016,0.395,-0.097
70502,0.004,0.367,0.433
70520,-0.062,-0.178,-0.019
70566,-0.039,-0.019,-0.039
70637,-0.033,-0.165,-0.973
70673,-0.057,-0.169,-0.014
70726,-0.066,-0.181,0.044
70744,-0.043,-0.015,-0.060
70879,-0.057,-0.180,0.127
70897,-0.076,-0.194,0.019
70940,-0.070,-0.142,0.151
70968,-0.061,-0.193,-0.003
70986,-0.063,-0.192,0.010
71055,-0.103,-0.159,0.277
71126,-0.060,-0.196,0.016
71199,-0.055,-0.008,0.182
71260,-0.041,-0.035,0.004
71340,-0.057,-0.173,-0.025
71457,-0.063,-0.337,0.008
71518,-0.052,-0.129,0.162
71536,-0.067,-0.226,0.067
71572,-0.053,-0.112,-0.007
71607,-0.054,-0.137,0.062
71634,-0.053,-0.149,0.117
71698,0.024,0.144,-0.424
71723,-0.062,-0.182,-0.014
71787,-0.065,-0.184,0.106
71812,-0.056,-0.106,0.040
71858,-0.118,-0.469,0.269
71885,-0.052,-0.035,-0.079
71910,-0.062,-0.160,-0.009
71956,-0.012,0.033,0.286
72007,-0.042,0.186,-0.295
72034,-0.058,-0.168,-0.050
72052,-0.066,-0.218,0.042
72098,-0.059,-0.178,0.029
72150,-0.052,-0.151,0.046
72221,-0.066,-0.207,0.035
72276,-0.049,-0.173,-0.115
72383,-0.056,-0.199,0.103
72409,-0.080,-0.642,-0.592
72463,-0.063,-0.182,0.054
72506,-0.069,-0.160,0.025
72533,-0.071,-0.299,-0.225
72579,-0.065,-0.195,-0.012
72604,-0.061,-0.193,-0.002
72640,-0.050,-0.156,-0.017
72677,-0.049,-0.092,-0.035
72819,-0.055,-0.174,0.010
72882,0.033,0.001,-0.311
72926,-0.012,-0.048,-0.104
72953,-0.063,-0.191,0.000
72980,-0.060,-0.189,-0.032
73013,-0.051,-0.140,0.084
73031,-0.055,-0.159,-0.157
73068,-0.576,-2.666,1.827
73102,-0.025,-0.090,-0.220
73246,-0.014,0.127,-0.444
73317,-0.015,0.051,0.924
73335,-0.040,-0.243,-0.302
73371,-0.059,-0.161,-0.001
73460,-0.059,-0.182,0.006
73503,-0.064,-0.194,-0.004
73567,-0.036,0.053,-0.435
73594,-0.068,-0.229,0.051
73629,0.271,2.428,5.054
73665,-0.062,-0.187,-0.005
73709,-0.057,-0.165,-0.069
73736,-0.051,-0.101,-0.024
73772,-0.072,-0.182,0.137
73852,-0.102,-0.372,0.558
73905,-0.056,-0.164,0.028
73923,-0.073,-0.167,-0.084
73996,-0.058,-0.209,-0.108
74028,-0.136,-0.556,-0.330
74073,-0.060,-0.221,-0.004
74108,-0.061,-0.193,-0.004
74135,-0.064,-0.090,-0.120
74171,-0.060,-0.193,0.001
74224,-0.069,-0.219,0.035
74242,-0.063,-0.176,-0.015
74322,-0.059,-0.163,0.168
74359,-0.055,-0.139,-0.036
74411,-0.056,-0.219,0.029
74509,-0.056,-0.249,-0.119
74536,-0.069,-0.174,0.014
74554,-0.057,-0.192,-0.103
74581,-0.068,-0.183,0.203
74616,-0.058,-0.179,0.008
74705,-0.061,-0.192,-0.003
74732,-0.065,-0.182,-0.007
74750,-0.060,-0.189,-0.003
74842,-0.067,-0.203,0.027
74859,0.133,2.379,0.496
74867,-0.058,-0.199,-0.092
74875,-0.088,-0.384,-0.004
74883,-0.054,-0.156,0.099
74891,-0.065,-0.219,0.077
74907,-0.046,-0.176,-0.056
74915,-0.063,-0.189,0.045
74923,-0.051,-0.155,-0.048
74931,-0.051,-0.145,0.016
74949,-0.081,-0.214,0.241
74956,-0.063,-0.197,0.006
75098,2.669,13.322,27.342
75114,-0.202,-0.599,0.533
75150,0.623,2.819,1.993
75203,0.422,3.002,1.977
75221,-0.078,-0.279,-0.017
75258,-0.030,0.017,-0.029
75338,-0.058,-0.172,-0.004
75356,-0.056,-0.148,-0.075
75472,-0.035,0.086,0.043
75515,-0.047,-0.131,0.026
75542,-0.060,-0.164,-0.032
75613,-0.059,-0.195,-0.039
75668,-0.063,-0.207,-0.016
75686,-0.064,-0.200,0.002
75711,-0.045,-0.010,0.131
75766,-0.068,-0.180,0.004
75819,-0.067,-0.224,0.018
75864,-0.063,-0.194,-0.017
75917,-0.063,-0.194,0.001
75953,-0.026,0.142,0.055
76004,-0.063,-0.193,-0.009
76040,0.114,-0.393,-0.591
76111,-0.059,-0.169,-0.195
76139,-0.061,-0.147,0.009
76157,-0.046,-0.146,0.009
76175,-0.036,-0.094,-0.005
76255,-0.022,0.026,0.059
76282,-0.064,-0.174,0.010
76317,-0.025,-0.042,0.536
76353,-0.056,-0.153,0.166
76406,-0.060,-0.171,0.012
76497,-0.063,-0.176,-0.014
76558,-0.057,-0.172,-0.016
76585,-0.039,-0.111,-0.188
76601,-0.089,-0.344,0.594
76638,-0.061,-0.184,0.038
76674,-0.061,-0.016,0.092
76692,-0.019,0.098,-0.259
76718,-0.066,-0.188,-0.018
76745,-0.065,-0.223,-0.002
76763,-0.066,-0.218,0.014
76807,-0.052,-0.144,-0.052
76932,-0.061,-0.184,-0.022
76969,-0.043,-0.223,-0.212
76996,-0.051,-0.184,-0.117
77028,-0.060,-0.186,0.004
77082,-0.063,-0.181,-0.016
77126,-0.056,-0.166,-0.013
77153,-0.053,-0.140,-0.083
77180,-0.064,-0.151,0.136
77224,-0.057,-0.049,0.253
77260,-0.062,-0.178,-0.017
77288,-0.061,-0.186,0.007
77313,-0.103,-0.584,0.277
77331,-0.060,0.345,-0.001
77377,-0.064,-0.211,0.007
77402,-0.055,-0.300,0.295
77475,-0.062,-0.130,-0.116
77509,-0.060,-0.155,0.045
77536,-0.047,-0.057,-0.063
77561,-0.059,-0.185,0.039
77579,-0.059,-0.178,0.017
77587,-0.053,-0.146,-0.100
77595,-0.061,-0.180,-0.028
77601,-0.051,-0.086,-0.010
77812,0.794,1.113,1.052
77910,0.031,0.127,-0.141
78016,-0.042,-0.039,-0.202
78089,-0.045,-0.103,0.080
78141,-0.740,-4.741,1.106
78258,-0.147,-0.042,-0.254
78329,-0.086,-0.167,0.710
78454,-0.048,-0.191,0.146
78472,-0.064,-0.182,0.005
78542,-0.058,-0.185,-0.023
78604,-0.060,-0.180,-0.015
78668,-0.042,-0.154,0.097
78711,-0.092,-0.189,-0.496
78748,-0.062,-0.265,0.085
78828,-0.061,-0.194,-0.005
78873,-0.049,-0.117,-0.046
78926,-0.062,-0.212,-0.030
79004,-0.027,0.036,0.203
79077,-0.065,-0.137,-0.062
79157,-0.050,-0.146,-0.058
79237,-0.054,-0.154,-0.038
79308,0.092,0.687,-0.078
79362,-0.030,0.096,0.579
79406,-0.059,-0.164,0.026
79497,-0.063,-0.190,-0.018
79585,-0.069,-0.056,-0.225
79656,-0.067,-0.217,-0.017
79736,-0.060,-0.152,0.015
79834,-0.018,0.032,-0.025
79932,-0.062,-0.185,0.000
80043,-0.060,-0.179,-0.010
80123,-0.034,-0.119,0.222
80249,-0.046,-0.130,0.105
80285,-0.061,-0.192,0.002
80365,-0.059,-0.173,-0.019
80427,-0.062,-0.182,0.048
80506,-0.059,-0.178,-0.026
80560,-0.055,-0.162,-0.003
80613,-0.052,-0.142,0.139
80677,-0.024,-0.044,0.512
80711,-0.054,-0.158,0.051
80766,-0.061,-0.188,0.004
80846,0.125,0.118,-1.069
80908,-0.057,-0.030,-0.059
80980,-0.062,-0.170,-0.001
81095,0.005,0.173,-0.774
81184,0.004,0.267,-0.276
81264,-0.050,0.035,-0.055
81380,0.010,0.322,-0.473
81415,-0.058,-0.073,-0.086
81497,-0.054,-0.126,-0.007
81576,-0.032,0.048,0.181
81656,-0.008,0.058,0.103
81754,-0.062,-0.199,-0.051
81816,-0.051,-0.207,0.007
81861,-0.042,-0.013,0.162
81987,-0.039,-0.080,0.086
82047,-0.106,-0.427,0.151
82136,-0.064,-0.348,0.081
82243,-0.065,-0.195,-0.015
82314,-0.060,-0.187,-0.012
82396,-0.046,-0.162,-0.167
82430,-0.019,-0.009,0.320
82555,-0.054,-0.148,0.028
82617,-0.218,-0.967,1.652
82680,-0.066,-0.193,-0.018
82733,-0.063,-0.140,0.062
82779,-0.062,-0.185,-0.009
82831,-0.054,-0.126,0.005
82895,-0.592,-3.505,3.529
83133,0.050,-1.295,-2.549
83151,-0.063,-0.087,-0.119
83197,-0.050,0.092,-0.126
83320,0.510,0.320,-2.140
83375,-0.020,-0.056,-0.126
83428,-0.080,-0.373,0.583
83464,-0.076,-0.260,-0.137
83491,-0.097,1.886,-0.497
83525,-0.075,0.159,0.476
83561,0.071,0.499,0.403
83632,-0.055,0.469,-0.869
83749,0.187,0.789,0.760
83785,-0.060,-0.172,-0.020
83847,-0.068,-0.207,0.073
83936,-0.018,0.098,-0.195
83963,-0.034,0.009,-0.105
83981,-0.068,-0.372,0.045
84086,-0.051,-0.031,-0.205
84102,-0.057,-0.088,-0.012
84148,-0.051,-0.139,-0.021
84175,-0.060,-0.124,-0.069
84237,-0.056,-0.153,0.004
84264,-0.017,0.111,-0.050
84344,-0.058,0.043,-0.166
84380,-0.021,0.043,-0.033
84415,-0.050,-0.139,-0.068
84460,-0.055,-0.150,0.041
84558,0.066,0.367,-0.273
84594,-0.009,-0.074,-0.392
84629,-0.026,0.043,0.267
84656,-0.030,0.059,-0.286
84754,-0.052,-0.107,0.033
84825,-0.023,0.001,0.206
84923,-0.037,-0.139,-0.251
85056,-0.057,-0.115,0.083
85074,-0.043,-0.115,-0.084
85127,-0.001,0.158,0.733
85243,-0.061,-0.179,-0.017
85289,-0.046,-0.083,-0.015
85341,0.103,1.024,0.137
85412,0.030,0.436,-0.061
85467,-0.061,-0.196,-0.001
85528,-0.026,0.099,0.213
85582,-0.056,-0.140,0.022
85626,-0.038,-0.038,-0.180
85680,-0.066,0.149,0.312
85760,-0.020,0.024,0.011
85788,-0.075,-0.220,0.001
85840,-0.112,-0.222,0.032
85877,-0.059,-0.175,-0.057
85920,-0.047,-0.025,-0.198
85984,-0.015,0.052,-0.062
86133,-0.064,-0.043,-0.289
86188,-0.023,0.218,0.605
86222,-0.064,-0.162,-0.016
86311,-0.016,0.131,-0.222
86339,-0.042,-0.011,-0.039
86366,0.081,0.378,-0.163
86438,-0.076,-0.181,0.071
86446,-0.062,-0.160,-0.054
86453,-0.053,-0.126,0.021
86461,-0.046,-0.167,0.021
86479,-0.081,-0.166,0.261
86487,-0.056,-0.129,0.066
86495,-0.039,-0.132,0.081
86501,-0.010,0.116,-0.108
86519,-0.041,-0.087,0.067
86687,0.843,3.671,1.760
86749,-0.061,-0.457,0.032
86810,0.302,2.241,0.496
86883,-0.079,-0.189,0.135
86936,0.018,-0.142,-0.951
86990,-0.393,-4.986,3.165
87059,0.202,1.429,-1.178
87077,-0.097,-0.104,0.915
87139,0.055,0.488,0.058
87175,0.029,0.169,-0.294
87219,-0.071,-0.320,-0.016
87246,-0.048,-0.117,0.186
87291,-0.068,-0.202,1.863
87362,-0.066,0.096,-0.075
87424,0.251,0.451,1.013
87576,0.061,0.591,0.290
87638,0.386,1.518,-3.951
87665,-0.200,0.902,0.020
87745,-0.019,-0.054,0.478
87843,-0.062,-0.192,-0.006
87996,-0.017,0.073,0.068
88047,-0.106,-0.252,-0.237
88092,-0.031,0.010,0.261
88216,-0.061,-0.194,0.002
88261,-0.033,0.127,0.181
88350,-0.050,-0.178,-0.034
88449,-0.025,0.005,-0.191
88546,-0.077,-0.268,0.223
88644,-0.075,-0.327,0.430
88788,-0.052,-0.200,-0.077
88868,-0.063,-0.190,-0.020
88920,-0.061,-0.193,0.001
89026,-0.053,-0.192,-0.024
89080,-0.054,-0.162,0.009
89151,-0.075,-0.288,-0.002
89240,0.052,0.127,-0.224
89348,-0.046,-0.045,-0.090
89428,-0.044,-0.119,-0.246
89561,-0.079,-0.352,0.253
89687,-0.061,-0.244,0.065
89801,-0.062,-0.161,-0.027
89856,-0.105,-0.289,0.258
89954,-0.048,-0.162,-0.036
90066,-0.061,-0.194,0.001
90119,-0.041,-0.063,-0.086
90208,-0.068,-0.208,-0.020
90262,-0.063,-0.191,0.003
90342,-0.046,-0.083,-0.021
90431,-0.040,-0.118,-0.229
90538,-0.024,0.087,-0.206
90663,-0.064,-0.083,0.084
90725,-0.026,0.020,-0.093
90805,-0.082,-0.238,0.062
90878,-0.095,-0.193,0.155
90994,-0.036,-0.002,0.026
91054,-0.063,-0.179,0.040
91116,-0.044,-0.077,-0.004
91232,-0.054,-0.076,0.032
91330,-0.098,-0.108,0.536
91447,-0.060,-0.187,0.004
91535,-0.057,-0.177,-0.022
91624,-0.066,-0.168,-0.058
91688,-0.061,-0.178,0.077
91731,-0.047,-0.131,0.019
91795,-0.058,-0.203,-0.058
91937,-0.062,-0.171,-0.021
91982,-0.100,-0.814,0.410
92097,-0.059,-0.168,-0.012
92177,-0.061,-0.211,0.028
92569,0.802,2.699,-0.197
92587,-0.056,-0.156,0.159
92658,0.240,1.079,3.591
92701,-0.014,0.616,0.257
92765,0.021,-0.142,-0.515
92783,-0.062,-0.196,-0.002
92836,-0.091,-0.179,0.029
92872,-0.053,-0.131,0.010
92907,-0.068,-0.183,0.039
92961,-0.046,-0.124,-0.175
92989,-0.066,-0.171,-0.058
93021,-0.069,-0.322,0.002
93067,-0.072,-0.276,-0.020
93085,-0.027,0.048,0.104
93101,-0.064,-0.175,0.149
93156,-0.025,-0.057,-0.092
93209,-0.065,-0.210,-0.111
93236,-0.064,-0.131,0.192
93281,-0.039,-0.176,0.262
93325,-0.029,-0.035,0.078
93370,-0.036,-0.054,-0.068
93441,-0.061,-0.144,-0.068
93487,-0.066,0.011,0.496
93539,-0.055,-0.034,0.107
93575,0.045,0.054,-0.747
93600,-0.071,-0.273,0.436
93628,-0.047,-0.114,-0.193
93646,-0.062,-0.203,-0.003
93664,-0.056,-0.236,-0.191
93717,-0.063,-0.173,0.076
93735,-0.063,-0.168,-0.011
93771,-0.073,-0.220,0.000
93815,-0.061,-0.176,-0.021
93851,-0.045,-0.168,-0.020
93888,0.018,0.034,-0.516
93931,-0.058,-0.153,-0.075
93995,-0.049,-0.127,0.123
94045,-0.061,-0.189,0.001
94081,-0.036,0.190,0.438
94107,-0.047,-0.211,-0.164
94125,-0.061,-0.164,0.029
94161,-0.040,-0.056,-0.042
94223,-0.063,-0.174,0.012
94269,-0.059,-0.172,0.066
94312,-0.047,-0.107,0.030
94330,-0.062,-0.184,-0.031
94376,-0.074,-0.227,0.077
94429,-0.082,-0.228,0.113
94456,-0.052,-0.171,-0.065
94492,-0.050,-0.135,0.127
94535,-0.062,-0.185,0.002
94562,-0.063,-0.201,-0.006
94580,-0.064,-0.189,0.007
94606,-0.045,-0.107,-0.198
94651,-0.058,-0.147,0.021
94688,-0.060,-0.151,-0.036
94731,-0.080,-0.206,0.008
94768,-0.060,-0.174,-0.130
94795,-0.053,-0.030,-0.008
95060,3.471,7.586,-0.553
95088,-0.007,-0.818,-0.992
95159,0.085,0.442,0.470
95239,0.068,0.201,2.089
95293,0.371,1.780,0.498
95355,-0.020,-0.163,-0.078
95391,0.111,0.306,-0.483
95471,0.025,0.216,2.036
95499,-0.091,-0.166,0.258
95612,-0.059,-0.179,-0.015
95667,-0.072,-0.200,0.036
95747,0.021,0.349,-0.307
95792,-0.042,-0.047,0.185
95872,-0.043,-0.106,-0.098
95943,-0.083,-0.234,0.129
96003,-0.061,-0.167,-0.007
96058,-0.052,-0.072,-0.042
96110,-0.046,-0.083,-0.090
96147,-0.061,-0.192,-0.004
96192,-0.050,-0.149,0.135
96254,0.149,1.152,-0.328
96334,-0.054,-0.169,-0.053
96370,-0.193,-0.924,0.540
96423,-0.059,-0.196,-0.013
96478,-0.082,-0.069,0.142
96593,-0.058,-0.110,-0.034
96637,-0.045,-0.160,0.260
96664,-0.061,-0.192,0.001
96717,-0.059,-0.181,0.013
96815,-0.031,-0.091,-0.145
96888,-0.046,-0.079,0.163
96904,-0.063,-0.633,-1.810
96940,-0.047,0.013,-0.164
97009,-0.061,-0.193,0.013
97063,-0.063,-0.175,-0.015
97090,-0.071,-0.257,0.053
97189,-0.033,0.498,-0.204
97241,-0.043,-0.134,-0.168
97321,-0.064,-0.197,0.008
97394,-0.061,-0.179,-0.009
97438,0.051,0.437,-1.225
97465,-0.056,-0.157,0.082
97517,-0.072,-0.204,0.033
97553,-0.061,-0.185,0.024
97606,-0.068,-0.278,0.325
97679,0.046,1.105,-2.296
97722,-0.060,-0.172,0.005
97777,-0.061,-0.194,0.002
97811,-0.075,-0.314,0.187
97875,-0.057,-0.157,0.011
97919,0.230,0.077,-0.049
98051,-0.067,-0.184,-0.035
98113,-0.050,-0.120,0.006
98168,-0.046,-0.096,0.016
98202,-0.058,-0.185,0.005
98220,-0.030,-0.220,-0.134
