SIRUTA,F1,F2,F3
14940,-0.041,-0.036,0.094
15064,-0.054,-0.146,-0.007
15108,0.360,0.525,-0.935
15233,-0.087,-0.215,0.234
15313,-0.038,-0.077,0.275
15402,-0.080,-0.184,-0.081
15448,-0.022,0.041,-0.160
15493,-0.061,-0.146,-0.075
15554,-0.090,-0.348,0.114
15652,-0.162,-0.653,-0.333
15741,-0.128,-0.583,0.042
15830,-0.080,0.017,-0.019
15901,-0.014,0.099,-0.010
15983,-0.001,-0.119,-0.361
16132,-0.055,-0.115,-0.117
16285,-0.069,-0.210,0.014
16329,-0.040,-0.090,-0.050
16365,-0.040,-0.182,-0.209
16427,-0.082,-0.350,0.042
16454,-0.077,-0.116,-0.247
16472,-0.021,0.105,-0.032
16506,0.028,0.033,0.555
16551,-0.046,-0.191,-0.080
16613,-0.058,-0.158,-0.003
16659,-0.055,-0.128,-0.016
16739,-0.066,-0.208,0.037
16757,-0.086,-0.122,0.029
16908,-0.057,0.071,0.473
16944,-0.054,-0.168,-0.185
17049,-0.042,-0.091,0.006
17101,-0.016,0.012,0.142
17209,-0.088,-0.295,0.251
17254,-0.046,0.024,0.048
17334,-0.037,-0.142,0.036
17398,-0.062,-0.190,0.008
17423,-0.085,-0.333,-0.040
17496,0.144,-0.292,-0.898
17575,-0.061,-0.184,0.011
17619,-0.040,0.043,-0.195
17726,-0.068,-0.185,-0.026
17771,0.338,0.780,0.720
17824,-0.073,-0.127,0.417
17851,-0.031,0.351,0.666
17913,-0.118,-0.464,-0.111
17968,-0.057,-0.161,0.026
18028,-0.079,-0.112,0.050
18162,-0.059,-0.165,0.006
18242,-0.062,-0.102,-0.054
18331,-0.085,-0.267,0.116
18411,-0.062,-0.203,-0.120
18475,-0.069,-0.289,0.081
18527,0.043,0.365,0.049
18554,-0.012,0.139,-0.201
18581,-0.059,-0.134,0.208
18670,0.035,0.279,-0.302
18741,-0.046,-0.202,-0.588
18778,0.028,0.276,1.391
18858,-0.071,-0.065,-0.257
18938,-0.059,-0.158,0.022
19007,-0.052,-0.196,-0.330
19114,-0.070,-0.221,-0.013
19141,-0.040,-0.203,0.171
19212,-0.060,-0.183,-0.061
19249,-0.077,-0.249,-0.038
19338,-0.066,-0.054,0.261
19392,-0.047,-0.094,0.116
19560,-0.062,-0.180,-0.007
19631,-0.052,-0.647,-0.047
19695,-0.037,-0.197,-0.093
19793,-0.064,-0.175,-0.127
19999,-0.063,-0.124,-0.096
20048,-0.055,-0.201,-0.126
20055,-0.041,-0.078,0.198
20063,-0.058,-0.179,0.014
20297,1.999,9.164,2.445
20313,0.136,1.264,1.509
20359,0.046,0.017,-0.300
20411,0.046,0.026,-0.359
20466,0.023,-0.108,0.523
20563,0.324,0.451,0.770
20607,-0.051,-0.147,0.017
20670,-0.046,-0.122,-0.106
20778,-0.075,0.426,0.241
20821,0.047,-0.697,-2.427
20876,0.348,1.373,-1.067
20910,-0.035,-0.296,0.248
20965,-0.043,0.032,-0.824
21007,-0.014,0.165,-0.054
21098,-0.057,-0.230,0.060
21123,-0.001,0.249,-0.292
21196,-0.053,-0.145,-0.030
21249,-0.065,-0.201,-0.016
21338,-0.052,-0.141,-0.038
21418,-0.043,-0.105,0.121
21454,-0.060,-0.070,-0.018
21506,-0.155,-0.107,-0.091
21560,-0.131,-0.426,0.141
21597,-0.046,-0.172,-0.104
21668,-0.203,-1.005,1.900
21720,-0.011,0.274,0.130
21757,-0.029,-0.021,-0.148
21855,-0.032,0.012,-0.004
21891,-0.059,-0.183,0.029
21971,-0.060,-0.185,0.002
22059,-0.060,-0.194,0.008
22111,-0.063,-0.174,-0.022
