Judet,01,02,03,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,41,42,43,45,46,47,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96,97,98,99,total_angajati
bv,307.59,154.90,19.48,0.00,0.00,0.00,26.29,0.00,739.36,27.88,0.00,166.31,178.35,267.84,220.00,135.90,43.56,26.45,131.30,52.11,332.78,217.47,145.08,924.68,290.80,233.78,1304.02,2425.26,185.63,107.39,72.86,362.24,39.28,180.56,3.01,286.05,0.00,1229.73,219.37,835.50,433.83,2369.66,1307.82,1317.64,0.32,3.80,186.11,88.38,477.23,785.77,37.86,6.49,3.80,13.46,566.72,66.05,31.20,0.16,68.74,245.03,106.60,114.20,381.08,27.08,87.27,148.09,25.82,38.01,316.78,39.12,311.08,154.43,536.78,7.29,91.87,542.48,12.35,12.35,16.47,19.64,40.86,91.55,0.00,34.53,151.58,0.00,0.00,0.00,23210.20
bz,434.22,59.08,1.46,0.00,0.00,0.00,38.83,3.97,1038.58,34.24,0.00,215.65,555.93,57.41,145.30,22.34,34.24,6.26,147.18,0.00,434.85,212.73,69.31,535.26,2.09,88.72,90.39,32.98,89.14,85.38,32.36,18.16,29.02,139.24,1.46,334.02,0.00,693.08,292.47,435.27,249.47,650.71,1545.87,566.78,1.88,0.00,15.66,64.72,88.31,282.87,3.76,2.92,15.87,15.87,26.51,12.53,29.44,0.21,29.02,57.41,42.17,63.67,101.67,7.31,28.60,38.41,37.99,13.78,24.42,12.53,236.94,44.88,134.02,0.21,43.21,425.66,0.42,1.67,8.14,7.52,6.89,31.73,0.00,22.13,57.41,0.00,0.00,0.00,11461.78
cj,245.56,29.07,8.44,0.00,0.00,0.42,91.63,10.24,715.63,25.05,0.00,59.11,273.80,161.40,129.28,160.57,160.01,0.00,128.73,142.43,299.40,361.42,64.23,733.07,430.49,675.49,273.38,285.70,49.83,497.90,106.45,90.11,940.43,309.78,2.63,250.40,0.28,1408.84,787.33,1261.84,788.72,1707.97,1661.04,2054.57,0.14,0.42,148.66,110.46,237.39,848.65,305.49,15.92,56.75,38.62,3376.35,56.20,1233.88,19.52,106.58,327.23,135.51,308.40,629.81,73.64,204.86,132.61,43.46,57.86,150.74,45.82,239.74,325.98,830.38,3.46,95.65,439.76,5.40,4.15,26.58,38.62,90.25,91.08,0.14,42.08,185.76,0.00,0.00,0.00,28466.66
cl,1187.37,44.08,29.91,0.00,0.00,0.00,6.30,7.24,541.26,7.87,0.00,16.06,395.79,3.15,75.25,90.37,11.02,0.00,29.91,0.00,36.84,223.56,103.91,184.51,1.89,0.63,149.88,31.49,11.02,50.06,4.41,8.82,3.78,174.75,0.94,120.91,0.00,487.42,110.20,348.56,141.38,512.29,1046.00,458.76,15.74,0.00,111.46,32.43,32.75,202.46,3.15,5.04,1.89,8.19,19.84,1.26,28.34,0.31,7.56,19.21,29.91,31.49,81.87,81.24,27.08,22.99,17.32,6.93,27.71,5.67,77.46,51.01,34.01,0.31,32.75,102.65,1.57,0.00,5.35,0.31,17.95,27.71,1.89,4.41,51.01,0.00,0.00,0.00,7887.79
cs,143.77,225.71,4.57,1.83,0.00,2.13,16.14,0.00,390.80,11.88,0.30,9.14,120.32,0.00,306.13,2.13,9.14,0.30,0.61,0.00,65.18,50.87,27.11,189.46,45.69,104.17,53.31,2360.97,14.62,53.00,34.72,25.59,18.28,143.47,1.52,82.55,0.00,305.52,176.36,232.41,200.73,445.33,934.82,503.51,0.30,0.30,35.33,37.77,155.65,339.94,10.05,6.40,0.00,15.84,10.36,6.09,6.09,0.00,32.29,55.13,24.98,25.59,93.51,0.91,7.92,27.41,25.89,5.79,24.67,10.66,145.60,49.65,78.89,0.00,35.03,113.62,0.00,54.52,6.70,3.96,10.97,28.02,0.30,19.80,74.02,0.30,0.00,0.00,8894.39
ct,537.12,3.38,27.26,0.00,0.00,0.00,63.49,102.57,521.93,11.68,0.00,59.59,64.79,9.48,31.29,8.83,27.78,144.76,42.33,13.76,103.35,149.05,28.56,310.82,1.82,5.19,25.84,4.41,407.94,95.95,38.17,230.97,273.30,310.30,3.89,434.94,24.28,1210.95,471.94,738.36,357.04,1071.12,1369.87,860.27,57.52,17.66,1264.83,50.38,606.06,921.04,12.46,11.81,8.83,23.11,61.54,22.85,57.00,0.00,68.81,184.23,88.16,87.38,329.13,15.71,74.00,77.51,25.97,32.46,261.74,36.74,544.39,180.21,109.32,16.62,94.26,403.26,17.40,8.83,15.97,4.93,101.14,88.03,0.78,59.98,236.04,0.00,0.13,0.00,16476.59
cv,262.62,358.75,9.61,0.44,0.00,0.00,88.27,0.44,1012.44,39.33,0.00,92.64,1242.29,22.72,716.62,198.82,41.07,0.00,3.06,0.00,178.28,97.01,0.00,382.78,7.43,59.86,51.56,78.22,1.31,149.44,176.97,17.92,0.00,130.22,0.44,207.56,0.00,582.91,142.89,334.28,323.79,991.91,1086.29,859.94,0.00,0.00,44.13,49.81,307.19,289.71,35.83,8.74,7.87,30.59,83.02,7.87,38.02,0.44,17.04,59.43,63.80,47.19,125.41,9.18,15.73,51.12,34.96,7.87,8.30,11.80,42.39,54.62,101.38,0.00,59.86,88.27,0.00,2.62,16.17,1.75,36.70,55.06,0.00,21.85,43.26,0.00,0.00,0.00,11829.04
db,253.41,61.65,11.54,0.38,0.00,0.00,62.41,8.89,375.01,2.84,0.00,291.80,358.36,11.16,128.60,68.27,34.80,0.38,63.35,0.00,142.97,91.15,442.14,319.60,2.65,957.28,82.64,1.70,57.87,106.28,16.26,54.09,1.89,136.16,2.46,64.11,16.26,738.10,92.48,380.11,228.63,411.50,910.76,655.46,0.00,0.00,76.59,46.33,97.20,299.36,20.23,8.13,3.03,8.89,43.50,12.86,12.48,0.19,18.91,65.43,26.10,94.18,150.91,2.27,26.85,31.01,25.91,13.62,158.29,8.70,178.90,156.96,99.09,66.95,48.22,153.94,8.51,3.03,5.67,4.73,0.57,41.42,0.00,19.67,107.98,0.00,0.00,0.00,9791.96
dj,558.90,38.81,5.28,0.00,0.00,0.00,31.96,41.66,397.38,7.71,0.00,43.80,377.40,111.15,38.38,30.68,38.10,0.00,17.26,0.57,335.74,142.12,2.28,204.75,15.70,172.79,67.21,933.74,131.84,116.15,36.67,66.21,248.13,165.94,4.14,61.64,0.14,741.82,209.18,446.89,353.00,1080.56,1388.76,809.46,1.57,0.00,66.63,82.90,108.44,377.26,52.22,16.27,3.57,60.07,190.77,19.12,40.81,0.00,57.22,120.57,43.52,75.05,174.65,33.96,34.53,53.36,27.54,25.54,98.74,16.41,665.77,208.46,401.66,14.70,64.92,477.86,14.70,10.42,8.13,4.00,34.82,54.65,0.00,25.26,162.23,0.00,0.00,0.00,13402.20
gj,68.50,139.73,10.10,9.82,0.00,0.00,84.87,0.27,361.05,1.91,0.00,36.02,181.21,0.00,83.78,6.28,28.65,2.18,5.73,0.00,291.73,111.62,0.27,342.77,4.09,38.21,34.39,0.00,9.82,56.49,16.92,97.97,3129.66,191.85,1.91,267.99,0.00,597.39,181.21,287.10,231.42,535.44,1276.65,838.36,0.00,0.00,32.75,21.56,83.51,345.22,12.55,3.27,11.73,7.37,73.96,8.19,50.49,0.00,48.85,49.67,46.12,16.10,340.04,3.82,23.20,31.38,39.57,18.01,1.91,11.46,636.41,37.66,143.27,266.08,66.04,227.60,1.91,3.00,12.55,3.00,33.57,31.38,0.00,20.74,137.00,0.00,0.00,0.00,12464.35
